date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:05	34780/34780	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Jan%202022%2014:01:04%20GMT	https://thalya.ma/index.php	C:/Users/Nizar/Desktop/thaliya/thalya.ma/index.html	(from )
15:01:06	208/208	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Jan%202022%2014:01:05%20GMT	https://thalya.ma/robots.txt		(from )
15:01:06	100837/100837	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2011%20Jan%202022%2014:01:05%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Nizar/Desktop/thaliya/connect.facebook.net/en_US/fbevents.js	(from https://thalya.ma/index.php)
15:01:06	3493/3493	---M--	200	added ('OK')	image/png	etag:%22da5-5cff2e3051d03%22	https://thalya.ma/static/favicon/apple-icon-57x57.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-57x57.png	(from https://thalya.ma/index.php)
15:01:07	3695/3695	---M--	200	added ('OK')	image/png	etag:%22e6f-5cff2e32a4934%22	https://thalya.ma/static/favicon/apple-icon-60x60.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-60x60.png	(from https://thalya.ma/index.php)
15:01:07	4558/4558	---M--	200	added ('OK')	image/png	etag:%2211ce-5cff2e336a18d%22	https://thalya.ma/static/favicon/apple-icon-72x72.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-72x72.png	(from https://thalya.ma/index.php)
15:01:07	4596/4596	---M--	200	added ('OK')	image/png	etag:%2211f4-5cff2e329d01a%22	https://thalya.ma/static/favicon/apple-icon-76x76.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-76x76.png	(from https://thalya.ma/index.php)
15:01:07	7290/7290	---M--	200	added ('OK')	image/png	etag:%221c7a-5cff2e2fa85ea%22	https://thalya.ma/static/favicon/apple-icon-114x114.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-114x114.png	(from https://thalya.ma/index.php)
15:01:08	7862/7862	---M--	200	added ('OK')	image/png	etag:%221eb6-5cff2e3382c1b%22	https://thalya.ma/static/favicon/apple-icon-120x120.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-120x120.png	(from https://thalya.ma/index.php)
15:01:08	10118/10118	---M--	200	added ('OK')	image/png	etag:%222786-5cff2e2ece184%22	https://thalya.ma/static/favicon/apple-icon-144x144.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-144x144.png	(from https://thalya.ma/index.php)
15:01:08	11059/11059	---M--	200	added ('OK')	image/png	etag:%222b33-5cff2e30bc055%22	https://thalya.ma/static/favicon/apple-icon-152x152.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-152x152.png	(from https://thalya.ma/index.php)
15:01:08	14451/14451	---M--	200	added ('OK')	image/png	etag:%223873-5cff2e31c1ffd%22	https://thalya.ma/static/favicon/apple-icon-180x180.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/apple-icon-180x180.png	(from https://thalya.ma/index.php)
15:01:08	15016/15016	---M--	200	added ('OK')	image/png	etag:%223aa8-5cff2e2f22929%22	https://thalya.ma/static/favicon/android-icon-192x192.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/android-icon-192x192.png	(from https://thalya.ma/index.php)
15:01:09	1920/1920	---M--	200	added ('OK')	image/png	etag:%22780-5cff2e33c52ab%22	https://thalya.ma/static/favicon/favicon-32x32.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/favicon-32x32.png	(from https://thalya.ma/index.php)
15:01:09	6016/6016	---M--	200	added ('OK')	image/png	etag:%221780-5cff2e31e372d%22	https://thalya.ma/static/favicon/favicon-96x96.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/favicon-96x96.png	(from https://thalya.ma/index.php)
15:01:09	1329/1329	---M--	200	added ('OK')	image/png	etag:%22531-5cff2e2e03b0b%22	https://thalya.ma/static/favicon/favicon-16x16.png	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/favicon-16x16.png	(from https://thalya.ma/index.php)
15:01:09	720/720	---M--	200	added ('OK')	application/json	etag:%222d0-5cff2e322fde8%22	https://thalya.ma/static/favicon/manifest.json	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/favicon/manifest.json	(from https://thalya.ma/index.php)
15:01:10	160302/160302	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:11%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/Users/Nizar/Desktop/thaliya/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://thalya.ma/index.php)
15:01:10	51092/51092	---M-Z	200	added ('OK')	text/css	etag:%22c794-5cff2e2774641-gzip%22	https://thalya.ma/static/css/style.desktop.css	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/style.desktop.css	(from https://thalya.ma/index.php)
15:01:10	7492/7492	---M-Z	200	added ('OK')	text/css	etag:%221d44-5cff2e2501a50-gzip%22	https://thalya.ma/static/css/style.tablet.css	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/style.tablet.css	(from https://thalya.ma/index.php)
15:01:10	10834/10834	---M-Z	200	added ('OK')	text/css	etag:%222a52-5cff2e25d4d6b-gzip%22	https://thalya.ma/static/css/style.tablet-small.css	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/style.tablet-small.css	(from https://thalya.ma/index.php)
15:01:10	10738/10738	---M-Z	200	added ('OK')	text/css	etag:%2229f2-5cff2e24debaf-gzip%22	https://thalya.ma/static/css/style.mobile.css	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/style.mobile.css	(from https://thalya.ma/index.php)
15:01:11	7429/7429	---M-Z	200	added ('OK')	text/css	etag:%221d05-5cff2e2706c3e-gzip%22	https://thalya.ma/static/css/style.retina.css	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/style.retina.css	(from https://thalya.ma/index.php)
15:01:11	67427/67427	---M-Z	200	added ('OK')	text/css	etag:%2210763-5cff2e25bd666-gzip%22	https://thalya.ma/static/css/animate.css	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/animate.css	(from https://thalya.ma/index.php)
15:01:11	10329/10329	---M-Z	200	added ('OK')	text/css	etag:%222859-5d34e3872bf44-gzip%22	https://thalya.ma/static/css/custom-new.css?v=3456789dfghjk	C:/Users/Nizar/Desktop/thaliya/thalya.ma/static/css/custom-newd513.css	(from https://thalya.ma/index.php)
15:01:13	9584/9584	---M--	200	added ('OK')	text/css	etag:%225e0d0dbe-2570%22	https://api.chipware.co.za/css/flipclock.css	C:/Users/Nizar/Desktop/thaliya/api.chipware.co.za/css/flipclock.css	(from https://thalya.ma/index.php)
